CNPJ_Fundo;Data_Referencia;Versao;Ativo_Negociado;Natureza_Transacao;Data_Transacao;Valor_Envolvido;Data_Assembleia;Contraparte
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-07-25;4112379.6396;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-07-25;7899845.1864;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-07-25;498287.2319;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-07-25;435873.5225;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-07-25;832297.3496;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-07-25;62.67;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2022-07-26;49138610.04;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-07-27;636273.48;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2022-07-28;100;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-07-28;8654.92;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-07-28;102.02;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-07-28;100;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-07-29;14732.24;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2022-08-01;200000;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-08-02;46474.1773;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-08-02;200100.8127;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-08-03;19919.29;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-08-04;11129.92;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-08-05;506993.73;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-08-05;193341.99;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2022-08-08;211471.29;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2022-08-08;1629937.03;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-08-09;4253.96;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-08-10;11613.98;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2022-08-11;114576.26;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
