CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
13.000.836/0001-38;2023-06-01;1;25;4.3309363;0.180645694200335;0;0;;;;;;1;3.48330984;0.145290736361478;0;0;2;8.0714303;0.33666372089867;0;0;;;;;;1;7.23861778;0.301926660505024;0;0;;;;;;;;;;
13.555.918/0001-49;2023-12-01;1;78;68207.11336755;0.4677;0.0476;0.4201;5;51097.4372015;0.3504;0;0.3504;0;0;0;0;0;1;26513.4464316;0.1819;0;0.1818;;;;;;;;;;;;;;;;;;;;
14.056.001/0001-62;2023-06-01;1;756;1473283;0.46;0.9955;0.0045;8;1757964;0.54;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.080.689/0001-16;2023-06-01;1;731;264266;0.276920142847562;0.23166831533767;0.045251827509892;8;690038;0.723079857152438;0.649727969284421;0.0733518878680169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.410.722/0001-29;2023-06-01;1;74550;13263387;0.8331;0.9426;0.0574;1;853906;0.0537;1;0;1;1802397;0.1132;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
14.423.780/0001-97;2023-06-01;2;6355;16195895.2;0.87;0.84;0.03;2;2351266;0.13;0;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.631.148/0001-39;2023-06-01;1;29;44575458.51;0.633;0;1;3;13720261.97;0.1948;0;1;0;0;0;0;0;1;12128083.22;0.1722;0;1;;;;;;;;;;;;;;;;;;;;
14.788.492/0001-36;2023-06-01;1;51;2550;0.000659020522755794;0.000659020522755794;0;4;1134548;0.293211927863349;0.293211927863349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2732280.740038;0.706129051613895;0;0.706129051613895
15.461.076/0001-91;2023-12-01;1;5;198096;0.1077;;1;1;153809;0.0835;;1;2;390470;0.212;;1;2;599296;0.3254;;1;1;500000;0.2714;;1;;;;;;;;;;;;;;;
16.543.270/0001-89;2023-12-01;1;15;279498.90568317;0.2604;0.0008;0.2596;6;453238.10158678;0.4227;0;0.4227;1;114631.550288;0.1069;0;0.1069;0;0;0;0;0;1;225219.79291415;0.21;0;0.21;;;;;;;;;;;;;;;
16.706.958/0001-32;2023-06-01;1;245313;57097087;1;0.89;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.802.360/0001-47;2023-06-01;1;5;1554.546709;0.122993198905951;0;0;2;1841.77;0.145717836998755;0;0;1;1463.0239;0.115752063604839;0;0;;;;;;1;2710.6410757;0.214461498683866;0;0;;;;;;1;5069.319944;0.401076321850357;0;0;;;;;
16.924.913/0001-34;2023-06-01;1;54;69803100;0.83;0.9819;0.0181;2;14296900;0.17;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.007.443/0001-07;2023-06-01;1;60;696927.8874;0.6413;0.6413;0;6;389852.1126;0.3587;0.3587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.007.528/0001-95;2023-06-01;1;47;7647.00000592;0.147057692404796;0.158596153941944;0.0576923076857397;6;24872;0.478307692253239;0.351384615344612;0.0576923076857397;;;;;;1;8000;0.153846153828639;;0.153846153828639;1;11481;0.220788461513326;;0.220788461513326;;;;;;;;;;;;;;;
17.035.124/0001-05;2023-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1000;1;1;0
17.161.979/0001-82;2023-12-01;1;66;1660568;0.8297;0.8297;;2;340787;0.1703;0.1703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.216.625/0001-98;2023-06-01;1;87;35592;0.6471;0.638;0.0091;;;;;;;;;;;;;;;;;;;;;;;;;;1;19408;0.3529;;0.3529;;;;;
18.259.637/0001-62;2023-06-01;1;0;0;0;0;0;1;10;0.0538;1;0;1;23;0.1238;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;152.8;0.8224;0;1
18.369.510/0001-04;2023-06-01;1;1;10185.3462287;0.012419;0;0.0124;;;;;;;;;;;1;143507.6440948;0.174985;0;0.174985;1;166419.771;0.202923;0;0.202923;;;;;;;;;;;1;500000;0.609672;0;0.609672
18.730.914/0001-73;2023-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;55.1165906;1;0;1
18.979.895/0001-13;2023-06-01;1;224661;31782814;1;0.866524310905888;0.133475689094112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
